Mn,N11/1,1;PCA,N11/4,2;PCASD,N11/2,3;KodZboziKodPodskladu,C55,4;Cislo,C50,5$
0.0;9082.6446;10990.00;APSW10/WHT.01;APSW10/WHT;
1.0;7264.4628;8790.00;APSW5/BLK.01;APSW5/BLK;
2.0;7264.4628;8790.00;APSW5/WHT.01;APSW5/WHT;
0.0;7099.1700;8590.00;APT102/BLK.01;APT102/BLK;
0.0;7099.1700;8590.00;APT102/WHT.01;APT102/WHT;
0.0;3297.5207;3990.00;APT3/BLK.01;APT3/BLK;
0.0;3297.5207;3990.00;APT3/GRE.01;APT3/GRE;
0.0;3462.8099;4190.00;APT3/GRN.01;APT3/GRN;
0.0;3297.5207;3990.00;APT3/ORG.01;APT3/ORG;
0.0;3297.5207;3990.00;APT3/PNK.01;APT3/PNK;
0.0;3297.5207;3990.00;APT3/WHT.01;APT3/WHT;
6.0;4123.9669;4990.00;APT3+/BLK.01;APT3+/BLK;
2.0;4123.9669;4990.00;APT3+/CRL.01;APT3+/CRL;
2.0;4123.9669;4990.00;APT3+/GRN.01;APT3+/GRN;
7.0;4123.9669;4990.00;APT3+/GRY.01;APT3+/GRY;
2.0;4123.9669;4990.00;APT3+/LMN.01;APT3+/LMN;
5.0;4123.9669;4990.00;APT3+/PETER.01;APT3+/PETER;
7.0;4123.9669;4990.00;APT3+/WHT.01;APT3+/WHT;
0.0;4619.8347;5590.00;APT5/BLK.01;APT5/BLK;
0.0;4619.8347;5590.00;APT5/GRE.01;APT5/GRE;
0.0;4619.8347;5590.00;APT5/ORG.01;APT5/ORG;
0.0;4619.8347;5590.00;APT5/PNK.01;APT5/PNK;
0.0;4619.8347;5590.00;APT5/WHT.01;APT5/WHT;
0.0;8256.1983;9990.00;APT8L/BLK.01;APT8L/BLK;
0.0;818.1818;990.00;APTM10/BLK.01;APTM10/BLK;
0.0;818.1818;990.00;APTM10/WHT.01;APTM10/WHT;
1.0;404.9587;490.00;APWB201/BLK.01;APWB201/BLK;
0.0;404.9587;490.00;APWB201/GRE.01;APWB201/GRE;
1.0;404.9587;490.00;APWB201/WHT.01;APWB201/WHT;
0.0;4950.4132;5990.00;APWF100.01;APWF100;
0.0;4619.8347;5590.00;APWFDRXD200.01;APWFDRXD200;
